Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
What is the name of the API call used to install a print processor?,AddPrintProcessor,GetPrintProcessorDirectory,Spoolsv,SetPrintProcessor,A,The AddPrintProcessor API call is used to install a print processor.
Which registry key is modified to register a print processor?,HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\[Windows architecture]\Print Processors\[user defined]\Driver,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print,HKLM\SYSTEM\CurrentControlSet\Control\Print\Providers,HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors,A,The HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\[Windows architecture]\Print Processors\[user defined]\Driver registry key is used to register a print processor.
Which of the following is NOT a mitigation against the abuse of print processors?,Disabling SeLoadDriverPrivilege,Monitoring for unusual kernel driver installation activity,Enabling Windows Defender,Monitoring for newly constructed files that may abuse print processors,C,Enabling Windows Defender is not a direct mitigation against the abuse of print processors.
What privilege is required to install a print processor?,SeLoadDriverPrivilege,SeDebugPrivilege,SeImpersonatePrivilege,SeTcbPrivilege,A,The SeLoadDriverPrivilege is required to install a print processor.
Which of the following is NOT a detection method for print processor abuse?,Monitoring process API calls to AddPrintProcessor,Monitoring for abnormal DLLs that are loaded by spoolsv.exe,Monitoring for new print processor DLLs written to the print processor directory,Monitoring for registry changes in the HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print key,D,The HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print key is not directly related to print processor installations.
What is the name of the print spooler service?,spoolsv.exe,printspooler.exe,printmanager.exe,winprint.exe,A,The print spooler service is named spoolsv.exe.
Which MITRE ATT&CK technique ID and name are associated with the abuse of print processors?,T1547.001, Boot or Logon Autostart Execution: Print Processors,T1547.002, Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,T1059.003, Command and Scripting Interpreter: PowerShell,T1543.003, Boot or Logon Autostart Execution: Scheduled Task,A,The abuse of print processors falls under the MITRE ATT&CK technique T1547.001, Boot or Logon Autostart Execution: Print Processors.
Which of the following is a relevant API call for detecting print processor abuse?,GetPrintProcessorDirectory,AddPrintProcessor,LoadLibrary,CreateProcess,B,The GetPrintProcessorDirectory API call is relevant for detecting print processor abuse as it is used to locate the print processor directory.
What directory is used to store print processors?,C:\Windows\System32\spool\prtprocs\x64,C:\Windows\System32\drivers,C:\Windows\System32\config,C:\Windows\SysWOW64\drivers,A,The C:\Windows\System32\spool\prtprocs\x64 directory is used to store print processors.
Under which privileges does the print spooler service run?,SYSTEM,Administrators,Users,Guest,A,The print spooler service runs under SYSTEM privileges.
